Zenith,Gain(50MHz),Gain(100MHz),Gain(150MHz),Gain(200MHz),Gain(250MHz),Gain(300MHz),Gain(350MHz),Gain(400MHz),Gain(450MHz),Gain(500MHz),Gain(550MHz),Gain(600MHz),Gain(650MHz),Gain(700MHz),Gain(750MHz),Gain(800MHz),Gain(850MHz),Gain(900MHz),Gain(950MHz),Gain(1000MHz),Phase(50MHz),Phase(100MHz),Phase(150MHz),Phase(200MHz),Phase(250MHz),Phase(300MHz),Phase(350MHz),Phase(400MHz),Phase(450MHz),Phase(500MHz),Phase(550MHz),Phase(600MHz),Phase(650MHz),Phase(700MHz),Phase(750MHz),Phase(800MHz),Phase(850MHz),Phase(900MHz),Phase(950MHz),Phase(1000MHz)
60,-15.88458,-5.91156,-34.32392,-25.42699,-30.29265,-23.97267,-23.08328,-23.09887,-31.27306,-27.65545,-21.4024,-28.17648,-31.81099,-28.62107,-23.41176,-26.15074,-23.82817,-24.01384,-23.67331,-24.41425,43.56961019615309,-182.9950751110265,-27.648183660255143,-82.74818860102842,171.7274824574367,147.34167226128358,154.8529479866692,86.04107390820798,29.027966561797797,-4.548225333079472,-86.1275542746143,-93.88311513692643,-108.42328860102847,-29.483060418206023,-104.21964857512846,-180.22977796076935,-183.51945066615906,172.37021633974476,171.53535471872036,128.4550620651305
61,-15.82209,-5.8365,-33.29252,-25.38137,-30.21351,-23.79444,-23.62799,-22.34915,-31.452,-27.81327,-22.73986,-26.79445,-31.18187,-28.57575,-23.38927,-25.90574,-23.07569,-24.10209,-24.10311,-24.50519,44.42701019615309,-182.3380751110265,-28.754442431536788,-84.15051064025904,171.73970449666734,145.972586954104,153.8255126794896,84.50580329384883,29.050817986669244,-5.640373908208005,-86.04736896743472,-93.22309594743872,-109.10859265358987,-30.77941633974479,-104.60956326794889,-180.35418530717956,-184.10900658769782,173.76658695410393,172.52987675795097,127.61674002589987
62,-15.90076,-5.75547,-32.76474,-25.30254,-30.06036,-23.36592,-23.94668,-21.80526,-32.04103,-27.76462,-23.8145,-26.76224,-31.11739,-25.76646,-23.26832,-25.27002,-23.21947,-25.31684,-24.06703,-24.75017,44.670310196153096,-181.5860751110265,-27.504479163587817,-85.62750329384882,172.69888980384692,146.5750796076938,155.1453379866692,84.3306959474386,30.15148410436113,-5.360225333079455,-85.82114692820409,-93.04970779051622,-108.98285636564478,-30.42786776461624,-105.60554857512847,-179.14041393410787,-183.71763597333862,172.5147575684631,171.72047675795096,127.02004572538567
63,-15.82623,-5.67048,-32.24028,-24.95379,-29.69742,-22.87078,-24.27566,-21.70906,-30.83337,-26.60605,-24.34943,-26.654,-30.30532,-24.18699,-22.43343,-25.18687,-23.15137,-26.46785,-24.12573,-25.57382,45.35941019615309,-181.8760751110265,-26.452813045895965,-85.54278860102842,173.4634824574367,146.81547960769382,156.35041064025899,84.30248860102839,29.79592982974677,-6.086262065130484,-85.07278290154264,-91.93370779051622,-108.57159594743872,-30.52856776461624,-105.28481918948764,-178.9509698556466,-183.29726535897944,171.69527960769375,171.70577675795096,128.34354002589987
64,-15.82846,-5.62608,-31.60341,-24.84927,-29.09015,-22.17111,-24.78829,-21.49883,-30.24665,-25.33733,-25.23655,-26.56518,-30.26535,-23.48529,-21.9599,-24.62708,-22.88647,-27.41645,-25.32821,-28.09486,43.998610196153095,-181.4200751110265,-25.10647916358782,-86.30098860102841,172.24511184307752,147.65783552923256,156.93827390820795,85.55308125461816,30.32196656179778,-4.673003293848808,-83.62714692820418,-91.38270779051622,-109.10330044410603,-29.995838378975414,-105.80526041820599,-178.79277796076934,-182.30052413026112,172.5715502220529,171.19512533307955,127.18896656179783
65,-15.80923,-5.60447,-31.12173,-24.69761,-29.53532,-21.72606,-24.8712,-20.66365,-29.50478,-24.58041,-25.73095,-26.59799,-29.69668,-22.81726,-22.39016,-23.38063,-23.96856,-27.66281,-25.79039,-28.86378,44.517910196153096,-181.9790751110265,-26.66288650999803,-85.56739594743863,171.9266677646163,148.87754287564277,155.53067390820794,84.85948125461817,31.308744522567167,-4.398076757950889,-83.79914692820418,-91.12370779051622,-110.3644490192346,-29.981460418206037,-107.05951184307742,-178.51618530717957,-183.68908005179986,171.22529759436296,170.85156941154077,128.14334002589987
66,-15.79439,-5.55126,-31.01242,-24.46383,-29.24486,-21.4001,-25.05608,-20.64936,-29.0147,-23.65127,-25.48722,-28.39119,-30.5757,-21.47217,-21.53554,-23.0135,-23.42543,-26.10428,-27.25352,-30.26887,44.2865175425633,-181.2630751110265,-25.407479163587837,-85.70531064025904,172.95529715025714,147.69945022205297,156.73876656179772,83.61647390820795,30.84270779051613,-5.2726326794896465,-82.3445542746144,-92.1786710584652,-111.8996343264142,-30.21877511102645,-108.18480449666721,-179.8671118430775,-183.1234873982101,170.4223355292325,171.8845016469245,128.11367083641215
67,-15.57347,-5.47966,-30.22626,-24.11689,-29.05304,-21.0956,-25.20883,-20.31424,-28.058,-23.93847,-26.45785,-28.33433,-30.9616,-21.3082,-21.37702,-22.39875,-23.05075,-25.73152,-26.27153,-29.34539,43.7351175425633,-181.5540751110265,-25.44625712435719,-86.41948125461822,173.46229715025711,147.38433552923257,155.83836656179773,82.37996656179773,31.650707790516122,-6.0126694115406565,-83.50351754256334,-93.15437555513248,-113.13096820872232,-28.99171633974479,-107.64481918948763,-181.2385191894877,-182.73170943744068,171.30104287564268,170.3567642938489,128.4697461694916
68,-15.54581,-5.43531,-29.76978,-24.1869,-28.9523,-20.91307,-25.38985,-19.75608,-27.53871,-23.77099,-28.68177,-28.89698,-31.03536,-21.39975,-21.37805,-22.12181,-22.66204,-23.8821,-25.52668,-28.51491,43.5471175425633,-182.2370751110265,-24.567071817177634,-85.62312533307947,174.48526041820608,145.91855022205297,154.31426656179772,83.26897390820795,31.943737934869517,-4.554447372310051,-84.15644407846128,-92.88744901923454,-113.59600494077335,-28.930694300514162,-108.15816776461617,-182.3057044966673,-183.07189474462024,172.7960649148733,170.60092533307954,128.72192533307947
69,-15.44041,-5.38051,-29.04519,-23.92695,-28.86788,-20.37923,-25.30101,-19.53672,-26.32953,-24.03737,-29.90826,-29.60369,-30.7149,-21.14549,-21.13546,-22.58542,-21.95669,-22.58534,-25.92208,-28.0799,42.879217542563296,-181.6770751110265,-23.532479163587837,-85.77990329384885,173.8854824574367,147.09344287564278,155.54692982974672,83.47396656179774,31.247479163587855,-3.7638547187202676,-83.73973958179397,-92.04036896743483,-112.67141228718356,-28.098908993334568,-107.16070449666721,-181.03737061435913,-184.00089474462027,172.33877675795082,171.25660594743871,129.20516656179782
