Frequency(MHz),S11,Impedance
449.0,(-0.10750603-0.28062537j),(34.845544100939804-21.498584713057994j)
453.75,(-0.21888916-0.20256682j),(29.836897790320005-13.268069841600814j)
458.5,(-0.28687516-0.091429271j),(27.31733695478128-5.493203982146188j)
463.25,(-0.2998544+0.037646219j),(26.867217809108904+2.2262186561528843j)
468.0,(-0.26191354+0.16307367j),(27.943105828172477+10.07237652636525j)
472.75,(-0.18698822+0.26340222j),(30.29295441425144+17.81765150379726j)
477.5,(-0.087078579+0.32017821j),(34.64670105062524+24.93106731044722j)
482.25,(0.025715426+0.33102301j),(42.01723098890841+31.263782252816142j)
487.0,(0.13646124+0.29900607j),(53.40495868927641+35.80465839911215j)
491.75,(0.22623891+0.23504297j),(68.32088191852483+35.941961748360036j)
496.5,(0.28370237+0.15024379j),(83.72356706842143+28.04858579342057j)
501.25,(0.29792243+0.050162263j),(91.71098854668746+10.125012080173597j)
506.0,(0.27072912-0.052883387j),(86.40597034860984-9.891536762109656j)
510.75,(0.20829827-0.13492781j),(72.74499791992758-20.919132964115647j)
515.5,(0.12240888-0.17584509j),(59.549947318518946-21.950792238782256j)
520.25,(0.033311501-0.16986133j),(50.3476420704239-17.632550673850687j)
525.0,(-0.041991007-0.12691317j),(44.5672201979884-11.518166292019384j)
529.75,(-0.090446539-0.065298758j),(41.37787623996746-5.471943477962275j)
534.5,(-0.10279655-0.0014091454j),(40.67840910895469-0.11586821075492265j)
539.25,(-0.085865252+0.05607814j),(41.847493684369645+4.743347850936846j)
544.0,(-0.047856532+0.098651998j),(44.5944681892736+8.905735662884892j)
548.75,(0.0006306924+0.12309159j),(48.56776997617717+12.140520463110038j)
553.5,(0.045172833+0.12248185j),(53.03556103078154+13.217037142427712j)
558.25,(0.081491999+0.09893705j),(57.62351130436751+11.592661912038995j)
563.0,(0.10230392+0.062846668j),(60.85295885925589+7.760687895891573j)
567.75,(0.10262167+0.024693506j),(61.351403636990355+3.06409956859382j)
572.5,(0.083493635-0.0059509771j),(59.10538971472316-0.7084333513372741j)
577.25,(0.046803731-0.0191347j),(54.867929022425855-2.1051450018478954j)
582.0,(0.0065878765-0.01040156j),(50.65212173132927-1.053881927298349j)
586.75,(-0.022351025+0.018517083j),(47.78168450350373+1.771046855292381j)
591.5,(-0.027033539+0.059325181j),(47.04400312257686+5.605613479591962j)
596.25,(-0.0072156461+0.098874927j),(48.33597237563927+9.653307241367079j)
601.0,(0.032521609+0.12685402j),(51.614526684181875+13.323513290009743j)
605.75,(0.077129863+0.13209596j),(56.18215582432435+15.198491365295654j)
610.5,(0.11916997+0.11634098j),(61.582675358335585+14.737960060479107j)
615.25,(0.15426528+0.08258047j),(67.1237000612042+11.436364110951091j)
620.0,(0.17021064+0.033916678j),(70.31151082047403+4.917593510950217j)
624.75,(0.16238193-0.013811311j),(69.35370420112804-1.9679985267316236j)
629.5,(0.13372147-0.048526183j),(65.07522061390837-6.446149847758423j)
