Zenith,Gain(50MHz),Gain(100MHz),Gain(150MHz),Gain(200MHz),Gain(250MHz),Gain(300MHz),Gain(350MHz),Gain(400MHz),Gain(450MHz),Gain(500MHz),Gain(550MHz),Gain(600MHz),Gain(650MHz),Gain(700MHz),Gain(750MHz),Gain(800MHz),Gain(850MHz),Gain(900MHz),Gain(950MHz),Gain(1000MHz),Phase(50MHz),Phase(100MHz),Phase(150MHz),Phase(200MHz),Phase(250MHz),Phase(300MHz),Phase(350MHz),Phase(400MHz),Phase(450MHz),Phase(500MHz),Phase(550MHz),Phase(600MHz),Phase(650MHz),Phase(700MHz),Phase(750MHz),Phase(800MHz),Phase(850MHz),Phase(900MHz),Phase(950MHz),Phase(1000MHz)
20,-14.5,-16.5,-26.2,-19.4,-15.5,-14.0,-15.7,-13.9,-16.1,-16.4,-18.0,-21.0,-17.9,-14.4,-14.3,-12.3,-12.7,-11.1,-10.8,-12.4,-7.3375526535897935,23.013751424871447,88.48107346410208,123.20427511102646,-7.752577960769379,-53.65045592153876,148.41502698000392,174.29270943744046,71.12389309769577,104.95336896743471,28.330145281279755,-43.297559215387594,23.46347916358785,-41.647781254618224,-48.207632679489635,-130.86697840487523,-58.485291450771314,-94.43226206513047,-159.29296656179778,162.92355471872023
21,-15.1,-16.7,-26.5,-19.4,-15.4,-13.8,-15.5,-13.3,-15.1,-16.9,-17.9,-18.9,-15.4,-14.7,-14.9,-11.9,-11.0,-11.3,-10.9,-11.1,-8.090482653589792,21.869258771281658,87.8264808105123,122.75457511102645,-7.52109796076938,-53.92586326794897,147.6905269800039,175.58611678385068,71.50448575128553,103.98896162102452,28.510737934869525,-42.560744522567205,23.208479163587853,-42.71900329384884,-48.27400329384882,-132.39318575128544,-58.706913490001945,-94.98405471872026,-157.9459812546182,161.4992926794896
22,-15.2,-16.8,-26.5,-18.9,-15.0,-13.6,-15.2,-13.6,-16.1,-15.9,-17.2,-19.1,-16.1,-13.4,-14.3,-12.9,-11.9,-10.8,-10.9,-10.2,-6.649020307179586,23.351158771281654,89.26366611769187,122.43306776461625,-7.013542307179586,-53.91194857512855,148.7912269800039,175.06711678385068,73.00148575128554,102.90136896743469,28.20833058845932,-42.94615186897741,24.063071817177644,-42.73478125461821,-48.39604002589985,-130.9115930976957,-59.53207675795092,-94.72445471872027,-157.5174812546182,161.17704737231
23,-15.2,-16.7,-25.7,-18.1,-14.6,-12.9,-14.5,-12.5,-15.3,-14.9,-16.1,-17.2,-16.5,-15.7,-14.1,-11.1,-11.7,-10.6,-9.3,-10.3,-5.389942653589793,22.913666117691864,88.64507346410208,121.04087511102645,-5.500759307179586,-53.57225592153876,150.0095269800039,176.04211678385067,74.47067105846514,104.21933882308133,29.034330588459312,-44.23870779051617,24.566479163587857,-42.180003293848856,-48.81441064025904,-131.56168575128544,-59.04409879718153,-95.49044737231004,-156.6102665617978,160.54185471872023
24,-15.4,-16.7,-26.5,-18.5,-14.5,-13.4,-14.5,-11.8,-14.9,-14.2,-16.1,-17.1,-15.0,-13.5,-12.9,-12.4,-11.1,-9.2,-8.6,-8.6,-6.722075307179586,23.45956611769186,88.19707346410208,119.64537511102645,-5.306847960769379,-55.09304857512855,149.95473432641413,177.54070943744046,75.37107840487536,105.31936896743471,29.20414528127972,-42.76892982974678,25.162257124357225,-43.645781254618214,-50.26059594743863,-132.49295636564466,-59.24680614359174,-94.41296206513044,-157.0697518689774,161.88140002589984
25,-15.2,-16.7,-27.8,-17.7,-14.5,-12.8,-14.1,-11.5,-14.1,-13.9,-15.7,-16.5,-15.0,-13.7,-13.1,-10.4,-10.9,-10.3,-8.2,-8.8,-7.6441253071795865,22.863073464102072,86.99107346410207,120.34088245743666,-5.940658307179586,-54.054955921538756,150.10613432641412,177.20011678385066,76.68207840487534,104.74574616949155,29.430115136926332,-42.960522483336575,26.67766447076744,-44.16537390820801,-50.806410640259045,-131.31177840487527,-57.696006143591745,-93.72504737231004,-156.51045186897738,160.51566941154067
26,-15.6,-16.6,-25.5,-16.7,-13.9,-12.7,-13.3,-11.9,-14.3,-14.3,-15.3,-16.3,-15.2,-13.2,-13.2,-12.0,-9.2,-9.3,-8.5,-8.6,-6.287235247179586,21.895480810512282,87.71166611769188,119.02408245743666,-5.3763279607693795,-55.33474857512856,151.23742698000393,177.47611678385067,76.67967105846515,105.23233882308134,28.044923242049066,-42.822151868977414,27.24584977794703,-44.265373908208005,-50.630003293848816,-130.57526371205486,-57.23400614359174,-92.68002533307941,-155.40612982974676,161.85935471872025
27,-15.2,-16.9,-25.5,-17.2,-13.6,-12.3,-12.6,-11.0,-13.7,-13.5,-15.1,-16.2,-15.2,-13.5,-13.0,-12.0,-10.9,-9.6,-9.8,-8.6,-5.546636307179586,21.16768815692248,87.5998881569225,118.24738980384687,-6.6890379607693795,-54.05924857512855,151.05223432641412,175.98511678385069,77.11507840487536,106.2883689674347,29.18914528127968,-42.396337176157004,26.764071817177637,-44.082781254618226,-51.84741064025904,-130.81737840487529,-56.04477675795091,-92.91655471872022,-154.08094452256717,162.2644620651305
28,-15.3,-16.7,-24.9,-16.7,-14.0,-11.9,-12.4,-10.7,-12.5,-13.3,-15.0,-15.0,-14.7,-13.1,-12.3,-11.2,-9.2,-9.3,-7.7,-8.2,-4.103504653589793,21.041488156922483,87.0212955033327,119.31568980384687,-6.003073307179586,-53.97814857512855,152.1538269800039,175.8675241302609,77.46107840487534,105.93733882308132,30.09333058845928,-41.021929829746796,26.980071817177645,-45.48837390820802,-52.55200329384883,-130.10087105846503,-56.729898797181534,-93.85602533307942,-155.24983717615694,163.05077675795087
29,-15.6,-17.1,-24.9,-16.8,-13.3,-11.9,-12.5,-10.4,-12.9,-12.7,-13.5,-15.4,-13.0,-12.6,-12.0,-10.7,-9.8,-9.2,-9.2,-7.1,-3.7216353071795862,21.069195503332686,87.14048081051229,117.82628980384686,-6.981927960769379,-54.21444857512856,152.50613432641413,176.1995241302609,77.90707840487536,105.67133882308133,28.591737934869485,-41.6487445225672,26.86566447076744,-44.264373908208,-53.9565959474386,-128.55737105846504,-55.85247675795091,-95.05643267948963,-154.68423717615696,162.1969620651305
30,-15.4,-17.0,-24.6,-15.9,-13.0,-11.5,-12.1,-10.1,-11.7,-12.2,-15.3,-14.5,-14.6,-13.6,-11.5,-10.5,-9.7,-9.4,-8.3,-8.0,-2.4066286535897934,21.761295503332683,87.2734808105123,118.12128980384686,-6.028487960769379,-53.00114857512855,151.37064167282435,175.26852413026091,76.41348575128558,106.60433882308132,28.042115136926327,-41.346929829746784,26.742257124357252,-45.138373908207996,-52.72318860102838,-127.91926371205483,-56.52428410436113,-95.96511064025901,-155.07992248333653,163.28486206513048
31,-15.4,-16.9,-24.4,-16.3,-12.8,-11.1,-11.7,-9.9,-11.5,-12.4,-14.2,-14.2,-13.0,-13.0,-11.7,-11.1,-9.5,-7.9,-8.1,-7.5,-2.105755307179586,20.907002849742895,88.4968881569225,116.78198980384687,-5.95380796076938,-51.987955921538756,152.45244167282436,174.2829314766711,77.94567105846517,106.54793147667112,28.887552627689928,-42.646337176157004,27.99707181717764,-45.23178125461823,-52.7695959474386,-128.39926371205485,-55.35807675795091,-97.33030329384879,-153.88054452256716,164.28606206513047
32,-15.5,-17.3,-23.6,-16.0,-12.5,-11.3,-12.0,-9.4,-11.5,-12.0,-14.3,-14.2,-13.5,-13.4,-12.1,-11.5,-8.9,-9.1,-7.1,-7.1,-2.225957653589793,20.47531019615309,87.82866611769187,116.26808980384686,-6.1916879607693796,-51.11024857512855,152.17744167282433,174.0369314766711,76.45207840487538,105.12133882308132,29.25114528127972,-42.0699298297468,28.26925712435724,-44.98755921538759,-54.33318860102838,-128.72326371205483,-55.87966941154069,-97.49411064025901,-153.23162982974677,165.81555471872025
33,-15.5,-16.8,-23.3,-15.6,-12.5,-11.1,-11.3,-9.6,-11.7,-12.1,-14.6,-13.9,-12.0,-12.8,-12.0,-10.6,-9.2,-9.1,-7.4,-7.9,-2.308505307179586,20.09391019615309,86.3698881569225,116.97218980384686,-6.510647960769379,-51.66154857512855,152.26724167282435,175.0279314766711,75.3994857512856,103.99815351590178,27.977522483336543,-40.98474452256718,27.604664470767446,-46.29055921538759,-53.870781254618166,-129.78656371205483,-56.03146206513047,-96.73488860102839,-153.53543717615696,167.2619767579509
34,-15.4,-16.8,-23.3,-15.2,-12.0,-10.3,-11.1,-9.2,-10.5,-11.6,-14.2,-14.1,-11.5,-12.3,-11.5,-10.8,-9.2,-7.1,-7.4,-7.4,-0.9196053071795864,18.662917542563292,86.7384808105123,115.50799715025707,-5.3393279607693795,-51.79164857512855,153.58364167282434,175.2359314766711,74.592300444106,102.67974616949155,29.306115136926337,-41.80133717615698,26.98466447076744,-45.26037390820801,-52.471781254618165,-129.84096371205482,-57.08286206513047,-96.9119032938488,-153.27862982974676,168.04996941154067
35,-15.2,-16.7,-22.4,-15.4,-11.9,-10.3,-10.7,-8.7,-10.7,-11.5,-13.2,-13.4,-12.2,-12.5,-11.3,-9.8,-8.6,-9.6,-7.5,-6.9,-1.669652653589793,18.588517542563295,85.8932955033327,116.66339715025707,-4.032307960769379,-50.49884857512855,153.78194167282436,174.94693147667112,74.64048575128561,102.99074616949156,27.809552627689925,-41.13392982974676,27.56807181717764,-44.552781254618225,-53.05678125461817,-130.35985636564462,-57.35816206513047,-98.15158860102838,-152.65281513692634,168.14896941154066
