Frequency(MHz),Z_A (TVPol),Z_A (BVPol),Z_A (HPols)
183.0,(18.53905520407469-11.977987345326502j),(50.00581992150257-52.744711065906735j),(2.9000374777952724-6.1769030274705115j)
184.1875,(18.66672783956535-9.175369683716013j),(48.86538205880933-49.48397274055854j),(2.9474429146558703-4.603984104329676j)
185.375,(19.19958999815175-6.654799597183725j),(47.63586167527187-46.67954890777989j),(2.904179694266434-2.971511201245429j)
186.5625,(19.69421267200338-4.781383069131926j),(46.717700818597706-43.084660329404365j),(3.3630957840035163-1.1330680559270527j)
187.75,(20.06069233119002-2.9246973330637265j),(45.71128605288949-40.65881623857618j),(3.3236438482860846+0.5703565303381857j)
188.9375,(20.575688468193185-0.575406484981106j),(45.80352302518671-38.32502156572932j),(3.5799020693645445+2.0917744462808883j)
190.125,(21.578569981540678+1.9912445929847133j),(45.62572805419083-36.31249493221254j),(3.7809416487426453+3.614982192801689j)
191.3125,(22.710037532478424+4.110238468512087j),(45.15957896054237-33.990600126593066j),(4.069260435494669+5.354246764739829j)
192.5,(23.758916341137567+5.82190447875361j),(45.48049329065588-31.463693070214536j),(4.244299454330008+6.808574698797117j)
193.6875,(24.93961947523571+7.672640622211968j),(45.68840629915827-29.756182402674984j),(4.194627825978985+8.471021459570395j)
194.875,(26.658037061599163+9.879547535770161j),(46.09201550195055-28.198764530589187j),(4.399624347700743+10.164777787249726j)
196.0625,(28.73319276462979+11.893232498948128j),(46.62998910609027-26.993652062097425j),(4.610586942979419+11.807785181797469j)
197.25,(30.6547909780969+13.296122180519582j),(47.073656144669286-25.829020181322928j),(4.746679868997178+13.580559327291493j)
198.4375,(32.46586870035321+14.256804900304118j),(47.73225190375889-24.460591419342734j),(5.215307518815977+15.163523517937028j)
199.625,(34.737247284660214+14.863076689289915j),(48.64483681411115-23.773433158245915j),(5.530333072050724+16.874416043409372j)
200.8125,(37.50630333907879+15.2029105298658j),(49.159403065379905-22.815583022613218j),(5.781103229201834+18.6290655674947j)
202.0,(40.29222524869056+15.312369439895592j),(49.9212467669261-22.559006338090487j),(6.313097121002221+20.257054596667707j)
203.1875,(42.30303454123182+15.092997206241414j),(50.75843757859053-22.667233842071067j),(6.604882601942602+22.136602261251465j)
204.375,(43.42462867286722+14.519731817248639j),(51.36700628641744-22.538844822088393j),(7.1098880597404825+24.02099125685016j)
205.5625,(44.14070891553684+13.671325517155815j),(52.32663374691662-22.491143581963467j),(7.466660482921272+25.7304902413198j)
206.75,(44.96393293979817+12.596031461881468j),(52.69193428304752-22.541466938301053j),(8.124310110271228+27.6114447792781j)
207.9375,(45.39443676877935+12.050668135024944j),(53.14283528088917-23.155151508282366j),(8.606199627001216+29.65163907174619j)
209.125,(45.61288525996129+12.168376857122727j),(53.16504507602423-23.602042268155248j),(9.212994371568419+31.630781350694875j)
210.3125,(45.586465295899295+12.788148195204649j),(53.079271463092745-24.179872086834116j),(9.797901919502111+33.47092031438705j)
211.5,(45.690320520625185+13.421792107609832j),(53.17413629228716-25.58205092310718j),(10.277304801124728+36.00512603536579j)
212.6875,(46.336004772667735+14.364221002369503j),(52.22242855212087-26.434586260638955j),(11.060019307080738+37.94721180981585j)
213.875,(47.344687557757794+15.53802984968208j),(51.40709703890196-26.83100425292567j),(12.114888084851605+40.10165109645247j)
215.0625,(48.425998453047974+17.272296140531314j),(50.42513066264611-27.28502549795951j),(13.185827313504202+42.115627136706294j)
216.25,(49.65942310771348+19.092700391704117j),(49.43621927015822-28.067703846823782j),(14.185133996454462+44.7368223708014j)
217.4375,(51.40403690153674+20.444231923609493j),(48.21172583102582-27.862063984668225j),(15.24984936138285+47.25433014435826j)
218.625,(53.94018730024258+21.02214001383353j),(47.059770305115805-27.670818675779195j),(16.249514503518117+49.872965014209925j)
219.8125,(57.07528209997733+21.444725562316208j),(46.136275381204925-27.057506565293828j),(17.55472141289468+52.41381883070658j)
221.0,(60.70526119626878+22.179065225490636j),(45.48944740136562-26.068848472645332j),(19.119503773716787+54.85120634325694j)
222.1875,(64.75359392196833+22.810587457890136j),(44.80567949054054-25.57171284832328j),(21.131410299775283+57.844847779066804j)
223.375,(68.86535484612148+22.310967106558575j),(44.81117798800403-25.02782249999032j),(22.663099056030447+60.57946385985404j)
224.5625,(72.75188677879694+20.275978195544894j),(45.20904593812977-25.11276503861616j),(25.02758673492191+63.979452407344j)
225.75,(76.9708657405207+17.457664343332933j),(44.98922192200188-25.195983983997863j),(27.80101961442952+66.87053687344266j)
226.9375,(81.21325050640873+13.441575246220633j),(45.11102656580925-25.56620531247462j),(30.152312500994654+69.86785095366061j)
228.125,(85.15391697561881+8.337684063232127j),(44.49234118607047-25.899645592708982j),(33.08315557077165+73.15967067942623j)
229.3125,(87.05865509657386+2.5268588688957436j),(43.37352609311135-26.213794318766574j),(36.52556044970166+76.73443241004043j)
230.5,(87.80644659792515-3.3956184823909488j),(42.64452556475837-26.032654612236946j),(40.524981984750234+80.03374337340456j)
231.6875,(88.12948358020674-9.386409657666707j),(41.93544362270358-26.049867826308926j),(44.932223955842794+83.83419431912142j)
232.875,(87.23930427046876-15.57024235309115j),(41.38483382426949-25.751234825797663j),(49.99135316556674+86.50443618875781j)
234.0625,(84.38266551113801-20.777624311959496j),(41.10604864255194-26.098865665187414j),(56.41014436827649+90.3134494144399j)
235.25,(80.56348855383828-23.921505762151227j),(40.33244160949356-26.453110136511736j),(62.6899981346151+92.04522743646632j)
236.4375,(76.86826568426538-26.422286324364816j),(39.878722611463026-26.770862944293512j),(70.12472321764217+95.92297727423478j)
237.625,(73.26343862800647-29.195636641663107j),(39.0406096521973-27.428859014690723j),(79.58730037283185+98.64665921321374j)
238.8125,(69.35272258940346-31.3898678805803j),(37.552837391293465-27.85583830754843j),(88.92861167964843+99.52104136561417j)
240.0,(65.76329922053849-32.06388353861043j),(36.572841388859324-27.64139788555519j),(97.9522022590106+99.77451658056373j)
241.1875,(62.98723393433022-31.804695347732956j),(35.197379843405876-27.81499335582021j),(110.26443400554525+100.5247984868093j)
242.375,(60.62108554211603-31.775390502034938j),(33.626310851587135-27.42606166865715j),(122.76142400204434+97.1493866175108j)
243.5625,(58.18505856354115-32.269397520320666j),(32.17258133290688-27.00373697306057j),(135.29757556457136+91.3138058558045j)
244.75,(55.26153925767049-32.29478549260825j),(30.77619829356414-26.35841080286409j),(147.6600381347297+83.31302520965716j)
245.9375,(52.28135451637955-30.038955689222984j),(29.553267015655457-25.750764679112827j),(158.9960903721068+72.05214215371596j)
247.125,(56.604575666995935-28.463553954521803j),(28.585010212072547-25.016652899680302j),(169.94578858428233+57.80701316576887j)
248.3125,(53.6855612835078-32.85336228449978j),(27.943679933482276-24.09631969238962j),(176.3722300702597+46.15008901142588j)
249.5,(49.88315139020413-34.32757011351524j),(26.68398708578822-23.301972388037637j),(181.00425271386993+30.380718202808037j)
250.6875,(46.57816071957385-34.6554779783422j),(25.7043567029585-22.935177048207485j),(183.19571041344744+8.595732444363207j)
251.875,(43.96242306655089-34.330020545505185j),(24.86793743677847-21.723569745775933j),(179.5925411650152-4.714032761730442j)
253.0625,(41.95693509021967-33.31433558889994j),(24.10267931052515-20.850174109323472j),(174.32384992302786-19.719411791870048j)
254.25,(39.62649056506324-32.1695715815273j),(23.283802792915466-19.711225816915025j),(168.20689997075996-31.011711832566906j)
255.4375,(36.92308026613337-30.560118520349768j),(22.375381850521265-18.875615968011406j),(157.86089831441004-43.63715530450736j)
256.625,(35.69974178940864-28.00922535842317j),(21.562096610479465-18.068780722172324j),(149.0505677674136-53.261370505510605j)
257.8125,(38.83119516046649-26.80367199262288j),(20.908041037532854-16.601895651032134j),(138.17187082849145-58.121923797231034j)
259.0,(38.991276191581605-33.42317957118098j),(20.459249407057193-15.683084826828978j),(129.54994071156554-63.84037014006038j)
260.1875,(32.64944976547266-34.24436923398953j),(19.637821767793337-14.652292104715968j),(119.83891053184232-67.14976383124801j)
261.375,(28.32895738183404-31.718063173165444j),(19.190582463331214-13.210788920247765j),(112.17455720743087-67.77898359760924j)
262.5625,(25.455666720593452-28.949749984777156j),(18.974974494655246-11.956955949268295j),(104.05453764768596-68.13916499959515j)
263.75,(23.78110698226819-26.700267504884337j),(18.632575594080258-10.488204810328483j),(96.46340847436359-68.17137798928239j)
264.9375,(22.219013751010774-24.884147945177137j),(18.18938185065345-9.173905405576326j),(88.48928981235889-67.69449806712443j)
266.125,(20.267898842835763-22.283474648384573j),(18.20693458115542-7.7140334158726676j),(83.24764998939374-65.52043415290854j)
267.3125,(18.984611805272273-18.72814602105827j),(18.190724688265373-6.433423499312038j),(77.44296879930465-65.3983364099788j)
268.5,(19.251538513944666-15.430933029844864j),(18.54237807247548-5.247669030096588j),(72.08546527604071-64.34729661384301j)
269.6875,(20.598706707212678-13.710180993840108j),(18.941326473913705-4.101731871335866j),(67.81876672415537-62.06166834072296j)
270.875,(21.64881758832221-13.131667580850046j),(19.235833219185405-3.038118830034097j),(63.612559166641454-60.22963794751889j)
272.0625,(21.851358539818776-12.789035489187187j),(19.815801855636785-2.2544856695823965j),(60.13268407962659-57.985360827150586j)
273.25,(21.618747072300703-11.704846837663213j),(20.213707349411695-1.7364195633688873j),(56.43962925841795-56.06563489828865j)
274.4375,(21.501532788648436-10.63736378992855j),(20.68552573656237-1.3176411819522036j),(53.337502717922455-53.96780331547421j)
275.625,(21.09282393431608-10.054195458918139j),(20.995589960708575-1.208693561264441j),(50.86062057173677-51.99912171769936j)
276.8125,(20.527499221873395-9.408416067798086j),(21.069210503471496-1.065377390487336j),(48.56969076308546-49.97746223096026j)
278.0,(19.837517566435235-8.506029155341805j),(20.90474903602336-0.6586776791737431j),(46.13841546544947-47.291400769663724j)
279.1875,(19.728415297157806-7.316968167418442j),(20.59315772288149-0.5923804697576293j),(44.41165320625408-45.89801733301546j)
280.375,(19.710251316890528-6.402750363393435j),(20.197308142145417-0.18279667312568726j),(42.66382998409529-43.939962063813134j)
281.5625,(19.451348702352433-5.746627019341707j),(19.59195341288502+0.17758989693404548j),(40.9980879633289-42.34971242271861j)
282.75,(18.939048687141426-5.065003614439523j),(19.105609531568494+0.8441493185251974j),(39.49201438247267-40.46008160223916j)
283.9375,(18.381422263240122-3.9264537346395283j),(18.609992142102598+1.6621040981467683j),(38.1357015609496-38.34535276092301j)
285.125,(18.254507658329363-2.705337448238095j),(18.105132479729665+2.524266468995532j),(36.62771501025217-36.508469811946554j)
286.3125,(18.245683918380728-1.6319851554666511j),(17.757145187657766+3.427681407095337j),(35.499048369968556-34.91187781463414j)
287.5,(17.882841352474717-0.99276362888371j),(17.341768310602866+4.364722882573426j),(34.52335578694242-33.48857017413798j)
288.6875,(17.184565690448533-0.1446349043757122j),(17.096808788726385+5.4324777411954885j),(33.854307753141086-31.887453952747798j)
289.875,(16.757733968379792+1.1259110642993269j),(16.74044357808065+6.573670053491552j),(32.99904527714271-30.32049382770028j)
291.0625,(16.835603149019093+2.3763656462993357j),(16.54739268712925+7.755988226527784j),(32.35032282114316-28.51806201480205j)
292.25,(16.939461552175214+3.2697156119045445j),(16.252349476225692+8.836236260133921j),(31.54985651851532-27.07372005508384j)
293.4375,(16.68112327654203+4.096462907530323j),(16.068177220716134+10.069933550005576j),(30.611585969500815-25.606799932339214j)
294.625,(15.987692164464484+5.252149607819031j),(16.15824674442824+11.236389174476201j),(30.21680318707247-24.277656268586345j)
295.8125,(15.67517196382445+6.671549252563028j),(16.218328175956085+12.333300454036925j),(29.912377137652186-23.146937284558255j)
297.0,(15.761293035773097+7.898928059304243j),(16.35299452899643+13.655843133565329j),(29.426266569838432-21.833954016645695j)
298.1875,(15.919187547518272+8.733981176207228j),(16.58945181330705+14.926973588960765j),(28.8555958368166-20.641540523121424j)
299.375,(15.686512442193612+9.577464001066918j),(16.881343625505643+16.166786526729044j),(28.599288106225703-19.114941186184996j)
300.5625,(15.20502890015218+10.924215635363248j),(17.12420782571186+17.265265498886986j),(28.151342372478585-18.237416923233354j)
301.75,(15.150682964963085+12.629697990382654j),(17.453708537192924+18.400535576299344j),(27.745030442335963-16.719804020361796j)
302.9375,(15.437738153412992+13.951676346741651j),(17.744652406099355+19.410995705808848j),(27.604566718034498-15.480520069980988j)
304.125,(15.523361196846645+14.971948997720482j),(17.999158175528276+20.42700030124843j),(27.343613299234327-14.216213140774554j)
305.3125,(15.171818184554871+16.096551203996807j),(18.058330204764747+21.341688108251105j),(27.364461166947688-13.212059518287987j)
306.5,(14.805020461554337+17.790047349474268j),(18.296863885467786+22.55742756130114j),(27.060689943718018-11.990350321209151j)
307.6875,(15.08124359852573+19.584692615141297j),(18.555626294248516+24.102534007187987j),(26.97108995064983-11.063247722471983j)
308.875,(15.65095737547213+20.87958395334731j),(19.28118555952877+25.660809515710696j),(26.79541307406532-9.843126663535923j)
310.0625,(15.878979697860743+21.87608251604041j),(20.494108607125742+26.79564539669647j),(26.77926802654964-8.909161359318164j)
311.25,(15.670236445919457+23.344813353401175j),(20.953298478361376+26.96882428129487j),(26.59022604021911-7.883710453193964j)
312.4375,(15.601804805513982+25.477839651835616j),(20.742461209337634+27.476353074747045j),(26.57089625782935-6.727767796791048j)
313.625,(16.19869875387331+27.561227222062694j),(20.415618610757644+29.136494696713495j),(26.533948663664248-5.69879788030799j)
314.8125,(16.7496200518886+28.744992572039074j),(20.461135563649382+30.671696780681156j),(26.394105007824635-4.537797883806051j)
316.0,(17.030802713663896+29.630504501352654j),(20.977830237893176+32.27109184571167j),(26.320684925057762-3.455203240369607j)
317.1875,(16.96495093114307+31.283281476604405j),(21.916877954614804+33.85491675575374j),(26.267364879941642-2.618760085934606j)
318.375,(17.360734133912867+33.85944156419209j),(23.00099245497811+35.710320118636844j),(26.459621382490212-1.6818012808750902j)
319.5625,(18.623112078182388+36.12926363582234j),(23.912680401890732+36.69196988076158j),(26.790673502337093-0.6688808085340908j)
320.75,(19.613289981141804+37.43639474366024j),(24.98354010614624+38.21426650774662j),(26.6950214486018+0.2189661838634089j)
321.9375,(20.05511698138878+38.586322383615354j),(25.635128191013486+38.877307046492845j),(26.843415904145765+1.2415964834631583j)
