Zenith,Gain(50MHz),Gain(100MHz),Gain(150MHz),Gain(200MHz),Gain(250MHz),Gain(300MHz),Gain(350MHz),Gain(400MHz),Gain(450MHz),Gain(500MHz),Gain(550MHz),Gain(600MHz),Gain(650MHz),Gain(700MHz),Gain(750MHz),Gain(800MHz),Gain(850MHz),Gain(900MHz),Gain(950MHz),Gain(1000MHz),Phase(50MHz),Phase(100MHz),Phase(150MHz),Phase(200MHz),Phase(250MHz),Phase(300MHz),Phase(350MHz),Phase(400MHz),Phase(450MHz),Phase(500MHz),Phase(550MHz),Phase(600MHz),Phase(650MHz),Phase(700MHz),Phase(750MHz),Phase(800MHz),Phase(850MHz),Phase(900MHz),Phase(950MHz),Phase(1000MHz)
58,-20.37073,-2.67008,-1.00852,-2.90883,-2.35643,-2.05737,-2.4972,1.53722,0.78449,0.22547,-1.55545,-5.20187,-8.2837,-7.46615,-6.77657,-10.10368,-12.81679,-9.21311,-7.87549,-8.40898,123.74297840487529,-148.04333882308146,59.07587960769383,-122.70962938564084,55.8951836602552,-12.135860418206008,85.1249208364122,-70.5421469282041,-162.71411678385084,-54.84600164692458,-53.48161469282036,3.7370032938488578,-71.50889309769579,163.28041633974487,143.7708400258998,60.174817986669254,-108.32888815692242,126.42366611769188,61.43545877128167,-23.191653882308128
59,-19.71863,-2.57208,-0.98012,-2.72793,-2.35093,-2.26607,-2.726,1.15972,0.60569,-0.01753,-1.71855,-5.53087,-9.4594,-8.42075,-8.46757,-10.29098,-10.62419,-8.02551,-7.47989,-7.80338,124.99938575128552,-148.23833882308145,60.578972261283624,-122.58262938564083,55.83818366025518,-11.63056776461621,84.438313490002,-69.4955542746143,-163.88611678385084,-54.61900899333479,-53.82172203923056,5.272595947438646,-72.01648575128556,163.73231633974487,142.4175020651304,59.19405471872028,-107.03448081051224,126.73785142487147,60.924344078461246,-23.513638575128542
60,-19.73273,-2.49748,-1.16272,-2.70803,-2.38763,-2.54427,-3.0686,0.90612,0.46379,-0.18163,-2.30515,-6.18897,-11.8139,-9.25805,-8.73757,-10.17648,-9.50319,-8.10071,-7.77469,-7.49908,125.34298575128551,-149.33033882308143,59.11147226128362,-121.38103673205103,54.28618366025519,-11.644675111026416,82.9192061435918,-69.87755427461431,-164.97411678385083,-55.05630899333478,-54.46592203923056,6.398373908208015,-72.10448575128558,162.46963103256527,143.51854941154065,60.01667675795092,-107.54807346410202,128.16325877128165,60.78373673205104,-22.56199061435916
61,-18.78113,-2.43598,-0.58152,-2.40723,-2.19093,-2.01227,-3.3256,0.60372,0.00179,-0.20283,-2.31815,-6.77457,-11.6232,-9.10645,-8.45857,-8.58248,-8.30939,-6.59001,-6.63519,-8.56938,125.46867840487529,-149.20833882308145,57.782779607693826,-121.53003673205103,53.276776313845005,-10.090975111026417,81.8679987971816,-71.31455427461432,-165.73011678385086,-53.84981633974499,-55.32142203923056,7.886373908208014,-73.32167105846517,162.75845307179588,143.6292987971815,59.794598797181536,-108.27425877128161,128.77885142487145,61.24474407846125,-21.793710614359163
62,-18.98873,-2.35738,-0.40992,-2.26013,-2.03273,-2.04897,-3.6006,0.23062,-0.04261,-0.48583,-2.97725,-7.31737,-12.9424,-9.96025,-9.16267,-8.99088,-6.26399,-5.93411,-6.99909,-7.21738,126.20187840487529,-149.39133882308144,57.63747960769383,-122.76903673205103,51.822776313845,-9.279482457436622,81.73269145077137,-70.64455427461431,-164.43252413026107,-54.364216339744985,-54.794522039230564,7.9519665617978035,-72.35207840487539,161.4112604182061,142.3691134900019,60.55240614359174,-108.4262587712816,130.12044407846125,59.82802203923062,-21.75303061435916
63,-19.46873,-2.27988,-0.22872,-2.11133,-2.00483,-1.94937,-3.7485,-0.06458,-0.50071,-0.60093,-3.12455,-7.66047,-13.845,-10.01575,-8.89937,-8.18728,-5.20979,-5.64571,-6.59399,-7.33368,125.55767105846508,-149.43333882308144,56.633379607693826,-123.12303673205102,53.26136896743479,-10.676982457436615,82.86217675795098,-72.01555427461432,-163.59852413026107,-55.25711633974499,-54.94902938564077,8.627966561797791,-72.44844901923454,159.95488980384692,141.6123208364121,59.986428182822365,-109.08566611769183,129.23762938564084,60.23222938564083,-22.08917796076937
64,-18.48843,-2.15518,-0.06232,-1.86993,-1.88153,-2.09097,-3.9823,-0.54988,-0.76261,-0.97733,-3.95995,-8.22817,-14.766,-10.05055,-7.27167,-7.46918,-4.74449,-6.07621,-5.68439,-7.38858,124.2286784048753,-150.57533882308144,56.11207960769383,-124.27703673205104,54.13396162102458,-9.201889803846825,83.62126206513057,-73.55655427461431,-165.07252413026106,-55.44441633974499,-53.517236732050975,8.425996706151182,-72.55285636564474,160.82229715025716,142.1863428756427,60.90372818282236,-110.42525877128159,129.47322203923062,61.69671469282042,-22.615592653589783
65,-19.15613,-2.03698,0.00218,-1.82903,-1.80303,-1.89527,-4.1171,-0.84718,-1.06591,-1.28663,-4.11145,-8.63867,-13.8227,-10.73385,-7.54947,-6.41548,-4.28429,-4.90791,-5.11699,-7.05348,122.7170784048753,-151.17433882308146,56.04267960769383,-125.64503673205104,53.01596162102459,-10.598289803846825,82.35215471872034,-73.99955427461433,-165.0785241302611,-54.80232368615519,-55.050629385640775,9.230559215387586,-71.79941228718351,160.63729715025715,143.2027428756427,62.369328182822365,-111.22725877128161,128.91581469282042,63.26260734641022,-21.420492653589783
66,-18.76533,-2.04828,0.15538,-1.66143,-1.78223,-2.04677,-4.3038,-1.35598,-1.38121,-1.68973,-4.56825,-9.82497,-14.046,-8.83745,-6.56957,-5.75488,-3.67379,-4.47331,-5.30399,-6.92808,123.6187930976957,-150.76633882308144,55.62367960769383,-126.38003673205102,51.54696162102459,-9.570497150257026,81.51664737231013,-74.82455427461431,-166.23752413026108,-53.723223686155194,-54.957329385640776,10.751559215387573,-72.16784977794711,161.34811184307756,144.22944287564272,63.356028182822364,-110.32166611769182,128.90840734641023,64.4036926535898,-21.36689999999999
67,-18.28173,-1.88538,0.32688,-1.49513,-1.73443,-1.96147,-4.2256,-2.10838,-1.96031,-1.94393,-5.62775,-11.08177,-13.6788,-8.08155,-6.55847,-5.15058,-3.10039,-3.80501,-5.46669,-7.76898,122.5211930976957,-151.15333882308144,55.334579607693826,-126.71503673205103,53.02755427461439,-9.12230449666723,82.22473267948972,-74.71855427461432,-166.86552413026106,-53.257923686155195,-56.08422938564077,10.959966561797785,-73.62662773871648,162.14311184307755,142.78315756846314,62.14212818282236,-109.74007346410203,127.591,63.81529265358979,-22.50879999999999
