Zenith,Gain(50MHz),Gain(100MHz),Gain(150MHz),Gain(200MHz),Gain(250MHz),Gain(300MHz),Gain(350MHz),Gain(400MHz),Gain(450MHz),Gain(500MHz),Gain(550MHz),Gain(600MHz),Gain(650MHz),Gain(700MHz),Gain(750MHz),Gain(800MHz),Gain(850MHz),Gain(900MHz),Gain(950MHz),Gain(1000MHz),Phase(50MHz),Phase(100MHz),Phase(150MHz),Phase(200MHz),Phase(250MHz),Phase(300MHz),Phase(350MHz),Phase(400MHz),Phase(450MHz),Phase(500MHz),Phase(550MHz),Phase(600MHz),Phase(650MHz),Phase(700MHz),Phase(750MHz),Phase(800MHz),Phase(850MHz),Phase(900MHz),Phase(950MHz),Phase(1000MHz)
34,-15.7158,-18.62386,-18.18623,-20.63487,-19.29093,-26.31209,-18.9326,-18.00442,-19.71846,-41.08761,-26.26742,-18.90092,-22.70904,-21.30604,-23.89223,-23.44454,-22.38539,-21.31562,-18.60296,-23.51006,-100.05377061435917,-103.93134122871834,55.624188156922486,69.51701918948771,-36.683175111026486,89.77118366025519,9.522729385640826,-56.545526535897935,-131.83436041820605,4.441411843077503,-25.447975111026473,-8.14929550333266,-47.57315592153874,-80.13658530717957,-16.97636611769187,-93.37373388230813,-137.85516041820603,-106.34407061435913,-83.70241469282041,-82.43399835307561
35,-15.6062,-18.54892,-18.06474,-20.62544,-19.29465,-26.84292,-19.32232,-18.25036,-19.50279,-42.11334,-28.06774,-18.74545,-22.96854,-21.3663,-25.04049,-23.12471,-22.63522,-22.07672,-18.46752,-22.37375,-100.31717061435917,-104.89314122871835,54.90710284974289,69.86501918948773,-37.93135307179586,89.09059759436306,9.71324407846124,-56.473941228718346,-131.15906041820605,3.5766326794896486,-24.573089803846887,-7.552480810512243,-48.55710734641019,-81.41348530717958,-17.14285877128166,-92.97427511102647,-138.85411184307748,-107.75826371205486,-83.28650734641019,-81.02899835307561
36,-15.55933,-18.46099,-17.79018,-20.56752,-19.13062,-27.05192,-19.71406,-18.64397,-19.49542,-37.52872,-30.33201,-18.92831,-22.04663,-21.24003,-26.23229,-23.46426,-22.66272,-22.49773,-18.71807,-21.25207,-99.18337796076938,-104.43634122871835,53.340110196153105,69.07842653589793,-38.98746041820607,88.02337555513247,9.332836732051035,-57.98991918948772,-129.93467511102648,2.1720044966672845,-24.18751653589792,-8.846388156922451,-47.6581146928204,-80.03187061435918,-15.750744078461246,-94.35930734641019,-137.72982368615502,-106.29952653589791,-81.88527796076937,-81.45292488897354
37,-15.55402,-18.37981,-17.52606,-20.32128,-18.81773,-27.14587,-19.8726,-18.77087,-19.60113,-35.93224,-31.30596,-19.19743,-21.83176,-20.69505,-25.78441,-22.85667,-22.7895,-21.98213,-19.10543,-20.38045,-100.35577061435917,-102.86944122871834,54.24651754256331,67.81214122871835,-38.598860418206066,87.29281963359372,9.33664407846124,-58.07014122871834,-131.3606310325652,2.78855262768991,-24.444882457436677,-7.6750734641020415,-47.36068530717957,-78.88810734641021,-14.983536732051043,-94.93499265358979,-139.2671118430775,-107.73386326794893,-81.0848073464102,-79.99955427461438
38,-15.60539,-18.25328,-17.27244,-20.27348,-18.46721,-26.0402,-20.19459,-19.11464,-19.81604,-32.94139,-31.8644,-19.20482,-21.915,-20.62151,-26.13253,-23.26834,-23.26122,-20.75113,-19.39894,-20.72702,-99.73397061435917,-101.71833388230814,53.66351754256331,66.38053388230813,-40.14234572538566,85.75804167282436,9.698229385640829,-57.503833882308136,-131.23616041820605,2.626164914873357,-23.89335307179585,-8.097788156922455,-47.80702653589792,-79.38334857512855,-15.050517542563313,-95.93676326794896,-140.07966776461626,-106.40998245743666,-79.7921146928204,-78.86336896743478
39,-15.55355,-18.14482,-17.06043,-20.26991,-18.17393,-25.65493,-20.51142,-19.35034,-19.53707,-32.03142,-34.74747,-19.30347,-22.48581,-20.71687,-25.60398,-24.06475,-23.09881,-21.5023,-19.27654,-19.72548,-100.26697061435917,-102.83393388230814,52.46351754256331,66.37453388230813,-40.71455307179586,86.57648575128559,9.465236732051036,-58.15220449666731,-131.46054572538563,2.860262065130456,-24.881280810512266,-7.409995503332659,-48.44478530717957,-78.75059265358979,-15.659510196153107,-96.73196326794896,-141.20978245743666,-106.89318530717955,-80.60212203923061,-78.82773958179395
40,-15.62691,-18.18346,-16.89076,-20.22414,-17.86206,-25.30757,-20.89774,-19.72717,-19.62899,-31.34863,-34.49369,-20.32832,-22.01908,-21.21911,-24.70368,-25.18701,-23.32471,-21.52853,-19.71621,-19.76729,-101.00247061435917,-102.31273388230814,53.0485175425633,67.16133388230813,-39.733338378975446,85.92467105846518,8.619344078461243,-58.51921918948772,-132.7066383789754,2.04279430051416,-23.5655175425633,-6.745388156922452,-47.16447796076936,-79.34889265358979,-16.044854274614337,-96.39325592153875,-140.94979715025707,-108.16714122871832,-82.15888815692247,-80.32977631384499
41,-15.64223,-18.02712,-16.77989,-20.12249,-17.61726,-24.77761,-21.00524,-19.95951,-19.74737,-31.54856,-34.53043,-20.81054,-22.26898,-21.16758,-24.56749,-26.4797,-22.7537,-21.82964,-19.29792,-19.89296,-100.18237061435917,-102.19553388230814,52.57051754256331,66.20582653589793,-38.40844572538565,85.2438930976958,7.326836732051035,-59.294911843077514,-131.31802368615502,2.1143796076937633,-23.79856611769184,-8.301473464102038,-46.496655921538746,-79.8844073464102,-15.591458771281651,-95.38344407846124,-139.65008245743667,-108.49268245743667,-82.75709265358978,-79.54114692820414
42,-15.66707,-17.92129,-16.59037,-20.18275,-17.22557,-24.31854,-21.51507,-20.66602,-19.45724,-31.93858,-33.03873,-21.2705,-22.41826,-21.51253,-25.2898,-29.54965,-23.02609,-21.85689,-18.40024,-20.15382,-98.81336326794897,-103.70171918948772,53.33392488897351,67.40243388230815,-39.90614572538564,83.95067105846519,6.642644078461242,-58.26281918948772,-130.4300383789754,1.6247061435916947,-23.124961621024525,-6.752622039230587,-45.751670614359156,-81.26464122871835,-17.105802849742886,-96.55060734641019,-139.42817960769375,-107.90359265358975,-82.75085142487143,-80.83311019615311
43,-15.64068,-17.81134,-16.38806,-20.28586,-17.01318,-24.30771,-21.87693,-20.97566,-19.07327,-30.80929,-31.27405,-21.67398,-22.4367,-21.79248,-25.2751,-29.05208,-22.78205,-23.12812,-18.23933,-19.90716,-99.39417061435917,-104.10072653589792,52.253924888973515,67.84171918948772,-39.17604572538565,84.8868930976958,6.383344078461242,-58.735411843077515,-130.5570089933346,3.0587428756427215,-22.588717542563295,-8.159944078461209,-46.330277960769365,-80.26028530717957,-17.276168967434742,-97.36322653589792,-138.88203103256518,-108.77598980384687,-83.31482653589791,-79.52588815692249
